keyword_match_score,company_size_log,industry_relevance,contact_completeness,email_available,linkedin_available,has_https,description_length_log,has_funding_mention,tech_stack_count,pain_point_match,is_good_lead
0.85,4.61,1.0,0.75,1.0,1.0,1.0,5.30,1.0,4,0.80,1
0.72,5.01,1.0,1.00,1.0,1.0,1.0,5.52,1.0,3,0.65,1
0.90,4.32,1.0,0.50,1.0,0.0,1.0,4.89,0.0,5,0.70,1
0.65,3.91,1.0,0.75,1.0,1.0,1.0,5.10,1.0,2,0.55,1
0.78,4.79,1.0,1.00,1.0,1.0,1.0,5.70,1.0,4,0.85,1
0.55,3.22,0.5,0.50,1.0,0.0,1.0,4.50,0.0,2,0.40,1
0.40,4.11,0.8,0.25,1.0,0.0,1.0,4.20,0.0,1,0.35,1
0.92,5.30,1.0,1.00,1.0,1.0,1.0,5.80,1.0,6,0.90,1
0.10,2.08,0.0,0.00,0.0,0.0,0.0,2.50,0.0,0,0.05,0
0.15,1.79,0.0,0.25,0.0,0.0,0.0,3.00,0.0,0,0.10,0
0.20,3.00,0.2,0.00,0.0,0.0,1.0,3.50,0.0,0,0.15,0
0.05,0.69,0.0,0.00,0.0,0.0,0.0,1.80,0.0,0,0.00,0
0.25,4.50,0.1,0.25,1.0,0.0,1.0,4.00,0.0,0,0.20,0
0.30,2.30,0.0,0.50,1.0,0.0,0.0,3.20,0.0,1,0.12,0
0.12,1.10,0.0,0.00,0.0,0.0,0.0,2.00,0.0,0,0.08,0
0.18,3.80,0.0,0.25,0.0,0.0,1.0,3.80,0.0,0,0.05,0
0.80,4.25,1.0,0.75,1.0,1.0,1.0,5.00,0.0,3,0.60,1
0.68,4.00,0.8,0.50,1.0,0.0,1.0,4.70,1.0,2,0.50,1
0.22,2.50,0.1,0.00,0.0,0.0,0.0,2.80,0.0,0,0.10,0
0.35,3.50,0.3,0.25,1.0,0.0,1.0,3.60,0.0,1,0.25,0
